S 18e4b8,4 hit
S 18e4bc,4 hit
S 18e4c0,4 miss eviction
S 18e4c4,4 hit
S 18e4c8,4 hit
S 18e4cc,4 hit
S 18e4d0,4 hit
S 18e4d4,4 hit
S 18e4d8,4 hit
S 18e4dc,4 hit
S 18e4e0,4 miss eviction
S 18e4e4,4 hit
S 18e4e8,4 hit
S 18e4ec,4 hit
S 18e4f0,4 hit
S 18e4f4,4 hit
S 18e4f8,4 hit
S 18e4fc,4 hit
S 18e500,4 miss eviction
S 18e504,4 hit
S 18e508,4 hit
S 18e50c,4 hit
S 18e510,4 hit
S 18e514,4 hit
S 18e518,4 hit
S 18e51c,4 hit
S 18e520,4 miss eviction
S 18e524,4 hit
S 18e528,4 hit
S 18e52c,4 hit
S 18e530,4 hit
S 18e534,4 hit
S 18e538,4 hit
S 18e53c,4 hit
S 18e540,4 miss eviction
S 18e544,4 hit
S 18e548,4 hit
S 18e54c,4 hit
S 18e550,4 hit
S 18e554,4 hit
S 18e558,4 hit
S 18e55c,4 hit
S 18e560,4 miss eviction
S 18e564,4 hit
S 18e568,4 hit
S 18e56c,4 hit
S 18e570,4 hit
S 18e574,4 hit
S 18e578,4 hit
S 18e57c,4 hit
S 18e580,4 miss eviction
S 18e584,4 hit
S 18e588,4 hit
S 18e58c,4 hit
S 18e590,4 hit
S 18e594,4 hit
S 18e598,4 hit
S 18e59c,4 hit
S 18e5a0,4 miss eviction
S 18e5a4,4 hit
S 18e5a8,4 hit
S 18e5ac,4 hit
S 18e5b0,4 hit
S 18e5b4,4 hit
S 18e5b8,4 hit
S 18e5bc,4 hit
S 18e5c0,4 miss eviction
S 18e5c4,4 hit
S 18e5c8,4 hit
S 18e5cc,4 hit
S 18e5d0,4 hit
S 18e5d4,4 hit
S 18e5d8,4 hit
S 18e5dc,4 hit
S 18e5e0,4 miss eviction
S 18e5e4,4 hit
S 18e5e8,4 hit
S 18e5ec,4 hit
S 18e5f0,4 hit
S 18e5f4,4 hit
S 18e5f8,4 hit
S 18e5fc,4 hit
S 18e600,4 miss eviction
S 18e604,4 hit
S 18e608,4 hit
S 18e60c,4 hit
S 18e610,4 hit
S 18e614,4 hit
S 18e618,4 hit
S 18e61c,4 hit
S 18e620,4 miss eviction
S 18e624,4 hit
S 18e628,4 hit
S 18e62c,4 hit
S 18e630,4 hit
S 18e634,4 hit
S 18e638,4 hit
S 18e63c,4 hit
S 18e640,4 miss eviction
S 18e644,4 hit
S 18e648,4 hit
S 18e64c,4 hit
S 18e650,4 hit
S 18e654,4 hit
S 18e658,4 hit
S 18e65c,4 hit
S 18e660,4 miss eviction
S 18e664,4 hit
S 18e668,4 hit
S 18e66c,4 hit
S 18e670,4 hit
S 18e674,4 hit
S 18e678,4 hit
S 18e67c,4 hit
S 18e680,4 miss eviction
S 18e684,4 hit
S 18e688,4 hit
S 18e68c,4 hit
S 18e690,4 hit
S 18e694,4 hit
S 18e698,4 hit
S 18e69c,4 hit
S 18e6a0,4 miss eviction
S 18e6a4,4 hit
S 18e6a8,4 hit
S 18e6ac,4 hit
S 18e6b0,4 hit
S 18e6b4,4 hit
S 18e6b8,4 hit
S 18e6bc,4 hit
S 18e6c0,4 miss eviction
S 18e6c4,4 hit
S 18e6c8,4 hit
S 18e6cc,4 hit
S 18e6d0,4 hit
S 18e6d4,4 hit
S 18e6d8,4 hit
S 18e6dc,4 hit
S 18e6e0,4 miss eviction
S 18e6e4,4 hit
S 18e6e8,4 hit
S 18e6ec,4 hit
S 18e6f0,4 hit
S 18e6f4,4 hit
S 18e6f8,4 hit
S 18e6fc,4 hit
S 18e700,4 miss eviction
S 18e704,4 hit
S 18e708,4 hit
S 18e70c,4 hit
S 18e710,4 hit
S 18e714,4 hit
S 18e718,4 hit
S 18e71c,4 hit
S 18e720,4 miss eviction
S 18e724,4 hit
S 18e728,4 hit
S 18e72c,4 hit
S 18e730,4 hit
S 18e734,4 hit
S 18e738,4 hit
S 18e73c,4 hit
S 18e740,4 miss eviction
S 18e744,4 hit
S 18e748,4 hit
S 18e74c,4 hit
S 18e750,4 hit
S 18e754,4 hit
S 18e758,4 hit
S 18e75c,4 hit
S 18e760,4 miss eviction
S 18e764,4 hit
S 18e768,4 hit
S 18e76c,4 hit
S 18e770,4 hit
S 18e774,4 hit
S 18e778,4 hit
S 18e77c,4 hit
S 18e780,4 miss eviction
S 18e784,4 hit
S 18e788,4 hit
S 18e78c,4 hit
S 18e790,4 hit
S 18e794,4 hit
S 18e798,4 hit
S 18e79c,4 hit
S 18e7a0,4 miss eviction
S 18e7a4,4 hit
S 18e7a8,4 hit
S 18e7ac,4 hit
S 18e7b0,4 hit
S 18e7b4,4 hit
S 18e7b8,4 hit
S 18e7bc,4 hit
S 18e7c0,4 miss eviction
S 18e7c4,4 hit
S 18e7c8,4 hit
S 18e7cc,4 hit
S 18e7d0,4 hit
S 18e7d4,4 hit
S 18e7d8,4 hit
S 18e7dc,4 hit
S 18e7e0,4 miss eviction
S 18e7e4,4 hit
S 18e7e8,4 hit
S 18e7ec,4 hit
S 18e7f0,4 hit
S 18e7f4,4 hit
S 18e7f8,4 hit
S 18e7fc,4 hit
S 18e800,4 miss eviction
S 18e804,4 hit
S 18e808,4 hit
S 18e80c,4 hit
S 18e810,4 hit
S 18e814,4 hit
S 18e818,4 hit
S 18e81c,4 hit
S 18e820,4 miss eviction
S 18e824,4 hit
S 18e828,4 hit
S 18e82c,4 hit
S 18e830,4 hit
S 18e834,4 hit
S 18e838,4 hit
S 18e83c,4 hit
S 18e840,4 miss eviction
S 18e844,4 hit
S 18e848,4 hit
S 18e84c,4 hit
S 18e850,4 hit
S 18e854,4 hit
S 18e858,4 hit
S 18e85c,4 hit
S 18e860,4 miss eviction
S 18e864,4 hit
S 18e868,4 hit
S 18e86c,4 hit
S 18e870,4 hit
S 18e874,4 hit
S 18e878,4 hit
S 18e87c,4 hit
S 18e880,4 miss eviction
S 18e884,4 hit
S 18e888,4 hit
S 18e88c,4 hit
S 18e890,4 hit
S 18e894,4 hit
S 18e898,4 hit
S 18e89c,4 hit
S 18e8a0,4 miss eviction
S 18e8a4,4 hit
S 18e8a8,4 hit
S 18e8ac,4 hit
S 18e8b0,4 hit
S 18e8b4,4 hit
S 18e8b8,4 hit
S 18e8bc,4 hit
S 18e8c0,4 miss eviction
S 18e8c4,4 hit
S 18e8c8,4 hit
S 18e8cc,4 hit
S 18e8d0,4 hit
S 18e8d4,4 hit
S 18e8d8,4 hit
S 18e8dc,4 hit
S 18e8e0,4 miss eviction
S 18e8e4,4 hit
S 18e8e8,4 hit
S 18e8ec,4 hit
S 18e8f0,4 hit
S 18e8f4,4 hit
S 18e8f8,4 hit
S 18e8fc,4 hit
S 18e900,4 miss eviction
S 18e904,4 hit
S 18e908,4 hit
S 18e90c,4 hit
S 18e910,4 hit
S 18e914,4 hit
S 18e918,4 hit
S 18e91c,4 hit
S 18e920,4 miss eviction
S 18e924,4 hit
S 18e928,4 hit
S 18e92c,4 hit
S 18e930,4 hit
S 18e934,4 hit
S 18e938,4 hit
S 18e93c,4 hit
S 18e940,4 miss eviction
S 18e944,4 hit
S 18e948,4 hit
S 18e94c,4 hit
S 18e950,4 hit
S 18e954,4 hit
S 18e958,4 hit
S 18e95c,4 hit
S 18e960,4 miss eviction
S 18e964,4 hit
S 18e968,4 hit
S 18e96c,4 hit
S 18e970,4 hit
S 18e974,4 hit
S 18e978,4 hit
S 18e97c,4 hit
S 18e980,4 miss eviction
S 18e984,4 hit
S 18e988,4 hit
S 18e98c,4 hit
S 18e990,4 hit
S 18e994,4 hit
S 18e998,4 hit
S 18e99c,4 hit
S 18e9a0,4 miss eviction
S 18e9a4,4 hit
S 18e9a8,4 hit
S 18e9ac,4 hit
S 18e9b0,4 hit
S 18e9b4,4 hit
S 18e9b8,4 hit
S 18e9bc,4 hit
S 18e9c0,4 miss eviction
S 18e9c4,4 hit
S 18e9c8,4 hit
S 18e9cc,4 hit
S 18e9d0,4 hit
S 18e9d4,4 hit
S 18e9d8,4 hit
S 18e9dc,4 hit
S 18e9e0,4 miss eviction
S 18e9e4,4 hit
S 18e9e8,4 hit
S 18e9ec,4 hit
S 18e9f0,4 hit
S 18e9f4,4 hit
S 18e9f8,4 hit
S 18e9fc,4 hit
S 18ea00,4 miss eviction
S 18ea04,4 hit
S 18ea08,4 hit
S 18ea0c,4 hit
S 18ea10,4 hit
S 18ea14,4 hit
S 18ea18,4 hit
S 18ea1c,4 hit
S 18ea20,4 miss eviction
S 18ea24,4 hit
S 18ea28,4 hit
S 18ea2c,4 hit
S 18ea30,4 hit
S 18ea34,4 hit
S 18ea38,4 hit
S 18ea3c,4 hit
S 18ea40,4 miss eviction
S 18ea44,4 hit
S 18ea48,4 hit
S 18ea4c,4 hit
S 18ea50,4 hit
S 18ea54,4 hit
S 18ea58,4 hit
S 18ea5c,4 hit
S 18ea60,4 miss eviction
S 18ea64,4 hit
S 18ea68,4 hit
S 18ea6c,4 hit
S 18ea70,4 hit
S 18ea74,4 hit
S 18ea78,4 hit
S 18ea7c,4 hit
S 18ea80,4 miss eviction
S 18ea84,4 hit
S 18ea88,4 hit
S 18ea8c,4 hit
S 18ea90,4 hit
S 18ea94,4 hit
S 18ea98,4 hit
S 18ea9c,4 hit
S 18eaa0,4 miss eviction
S 18eaa4,4 hit
S 18eaa8,4 hit
S 18eaac,4 hit
S 18eab0,4 hit
S 18eab4,4 hit
S 18eab8,4 hit
S 18eabc,4 hit
S 18eac0,4 miss eviction
S 18eac4,4 hit
S 18eac8,4 hit
S 18eacc,4 hit
S 18ead0,4 hit
S 18ead4,4 hit
S 18ead8,4 hit
S 18eadc,4 hit
S 18eae0,4 miss eviction
S 18eae4,4 hit
S 18eae8,4 hit
S 18eaec,4 hit
S 18eaf0,4 hit
S 18eaf4,4 hit
S 18eaf8,4 hit
S 18eafc,4 hit
S 18eb00,4 miss eviction
S 18eb04,4 hit
S 18eb08,4 hit
S 18eb0c,4 hit
S 18eb10,4 hit
S 18eb14,4 hit
S 18eb18,4 hit
S 18eb1c,4 hit
S 18eb20,4 miss eviction
S 18eb24,4 hit
S 18eb28,4 hit
S 18eb2c,4 hit
S 18eb30,4 hit
S 18eb34,4 hit
S 18eb38,4 hit
S 18eb3c,4 hit
S 18eb40,4 miss eviction
S 18eb44,4 hit
